institute_▲▼,opening_rank_▲▼,closing_rank_▲▼,category_▲▼,round_▲▼,program_▲▼,stream_▲▼,seat_type_▲▼,quota_▲▼
"Heritage Institute of Technology, Kolkata",2683,5125,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Narula Institute of Technology, Agarpara, Kolkata",14327,16283,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",28331,28331,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr. B. C. Roy Engineering College, Durgapur",16479,23917,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",24146,28039,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Academy of Technology, Adisaptagram, Hooghly",7923,11425,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",16127,16440,OBC - B,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Calcutta Institute of Technology, Uluberia, Howrah",358407,826905,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Govt. College of Engg. & Textile Technology, Berhampore",14627,14649,OBC - B,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engg. & Textile Technology, Berhampore",71978,99579,ST,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",9191,11715,OBC - A,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",1954,3849,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",4693,5101,OBC - B,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",5313,6507,EWS,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",19226,25213,EWS,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",7945,12406,SC,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
