institute,program,round,opening_rank,closing_rank,seat_type,quota,category
"Haldia Institute of Technology, Haldia, Purba Medinipur",Computer Science & Engineering - TFW,Round 1,5021,8720,WBJEE Seats,Home State,Tuition Fee Waiver
"Kalyani Goverment Engineering College, Kalyani, Nadia",Computer Science & Engineering - TFW,Round 1,1233,1432,WBJEE Seats,Home State,Tuition Fee Waiver
"Mckv Institute of Engineering, Liluah, Howrah",Computer Science & Engineering - TFW,Round 1,11397,17467,WBJEE Seats,Home State,Tuition Fee Waiver
"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Computer Science & Engineering - TFW,Round 1,8360,17234,WBJEE Seats,Home State,Tuition Fee Waiver
"Maulana Abul Kalam Azad University of Technology, West Bengal",Computer Science & Engineering - TFW,Round 1,3951,4509,WBJEE Seats,Home State,Tuition Fee Waiver
University Of Calcutta,Computer Science & Engineering - TFW,Round 1,1619,1674,WBJEE Seats,Home State,Tuition Fee Waiver
"Meghnad Saha Institute of Technology, Kolkata",Computer Science & Engineering - TFW,Round 1,8007,17387,WBJEE Seats,Home State,Tuition Fee Waiver
"Rcc Institute of Information Technology, Kolkata",Computer Science & Engineering - TFW,Round 1,9142,15684,WBJEE Seats,Home State,Tuition Fee Waiver
Swami Vivekananda University,Computer Science & Engineering - TFW,Round 1,26984,34607,WBJEE Seats,Home State,Tuition Fee Waiver
"B.P. Poddar Institute of Management & Technology, Kolkata",Computer Science & Engineering - TFW,Round 1,8328,16907,WBJEE Seats,Home State,Tuition Fee Waiver
"College of Engineering and Management, Kolaghat",Computer Science & Engineering - TFW,Round 1,5086,25310,WBJEE Seats,Home State,Tuition Fee Waiver
"Sister Nivedita University, New Town",Computer Science & Engineering - TFW,Round 1,5627,28152,WBJEE Seats,Home State,Tuition Fee Waiver
"Haldia Institute of Technology, Haldia, Purba Medinipur",Computer Science & Engineering (Data Science),Round 1,57068,72995,WBJEE Seats,Home State,EWS
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,16613,23200,WBJEE Seats,Home State,EWS
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,12391,19598,WBJEE Seats,Home State,OBC - A
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,95033,95033,WBJEE Seats,Home State,Open (PwD)
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,14615,26893,WBJEE Seats,Home State,SC
Jadavpur University,Instrumentation & Electronics,Round 1,15158,19748,WBJEE Seats,Home State,ST
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,10923,14860,WBJEE Seats,Home State,OBC - B
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,4809,10264,WBJEE Seats,All India,Open
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,93426,97072,WBJEE Seats,Home State,ST
THE NEOTIA UNIVERSITY,Computer Science & Engineering (Data Science),Round 1,33086,52429,WBJEE Seats,All India,Open
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",Computer Science & Engineering (Data Science),Round 1,47189,97966,WBJEE Seats,All India,Open
Jadavpur University,Chemical Engineering,Round 1,23623,48447,WBJEE Seats,Home State,Open (PwD)
Jadavpur University,Chemical Engineering,Round 1,1938,2634,WBJEE Seats,Home State,OBC - B
Jadavpur University,Chemical Engineering,Round 1,2381,2647,WBJEE Seats,Home State,EWS
"Techno International New Town, Rajarhat, New Town",Computer Science & Engineering (Data Science),Round 1,31152,86367,WBJEE Seats,All India,Open
"Netaji Subhas Engineering College, Garia, Kolkata",Computer Science & Engineering (Data Science),Round 1,19408,51392,WBJEE Seats,All India,Open
"Nshm Knowledge Campus, Durgapur Group of Institutions",Computer Science & Engineering (Data Science),Round 1,23129,95150,WBJEE Seats,All India,Open
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,1958,2610,WBJEE Seats,Home State,Open
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,8075,10103,WBJEE Seats,Home State,SC
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,5026,5920,WBJEE Seats,Home State,OBC - A
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,28924,28924,WBJEE Seats,Home State,OBC - B (PwD)
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,3419,9267,WBJEE Seats,Home State,Open (PwD)
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,50009,50009,WBJEE Seats,Home State,OBC - A (PwD)
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,27743,30381,WBJEE Seats,Home State,ST
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,2718,3272,WBJEE Seats,Home State,OBC - B
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,5117,5308,WBJEE Seats,Home State,EWS
"Mckv Institute of Engineering, Liluah, Howrah",Information Technology,Round 1,5470,91546,WBJEE Seats,All India,Open
"Mckv Institute of Engineering, Liluah, Howrah",Information Technology,Round 1,98568,98568,WBJEE Seats,Home State,EWS
Jadavpur University,Chemical Engineering,Round 1,1014,1406,WBJEE Seats,Home State,Open
Jadavpur University,Chemical Engineering,Round 1,18163,31928,WBJEE Seats,Home State,ST
Jadavpur University,Chemical Engineering,Round 1,716,1012,WBJEE Seats,All India,Open
"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Information Technology,Round 1,27859,81045,WBJEE Seats,All India,Open
"Bankura Unnayani Institute of Engineering, Bankura",Information Technology,Round 1,29388,59916,WBJEE Seats,All India,Open
BRAINWARE UNIVERSITY,Computer Science & Engineering (Artificial Intelligence And Machine Learning),Round 1,14052,89608,WBJEE Seats,All India,Open
